Replication control,Plasmid,Method,PCN,Clowes ref,Molecular weight (Mda),Length
Relaxed,ColE1,Brij,9.5,39,4.2,6461.538462
Relaxed,S,EB,13.5,"168a, 145",5.6,8615.384615
Relaxed,R6K,EB,25.5,145,26,40000
Stringent,R28K,EB,2.2,145,44,67692.30769
Stringent,R15,EB,1.4,177,46,70769.23077
Stringent,R538,AS,1.7,227,49,75384.61538
Stringent,Delta,EB,0.8,168a,61,93846.15385
Stringent,F,"EB, AS",0.9,"15, 227",67,103076.9231
Stringent,222/R4,EB,1.8,177,70,107692.3077
Stringent,R64,AS,1.2,227,76,116923.0769
Stringent,FVBtc,BR ,1.1,115,107,164615.3846
