Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NC_013356	NA	NC_013356.1	39826	40176	+	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTX	117	117	100.00	99.15	117	AAB09624.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
NC_013356	NA	NC_013356.1	40227	40586	+	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	120	120	100.00	98.33	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD	NA	NA
NC_013356	NA	NC_013356.1	40607	42355	+	arsA	arsenite efflux transporter ATPase subunit ArsA	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	583	583	100.00	99.14	583	AAB09626.1	arsenite efflux transporter ATPase subunit ArsA	NA	NA
NC_013356	NA	NC_013356.1	42407	43693	+	arsB	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	429	429	100.00	98.37	429	BAA24823.1	arsenite efflux transporter membrane subunit ArsB	NA	NA
NC_013356	NA	NC_013356.1	43709	44131	+	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTX	141	141	100.00	99.29	141	AAB09628.1	glutaredoxin-dependent arsenate reductase	NA	NA
NC_014911	NA	NC_014911.1	69691	69924	-	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	78	78	100.00	100.00	78	AAC38236.1	broad-spectrum mercury transporter MerE	NA	NA
NC_014911	NA	NC_014911.1	69924	70286	-	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	121	121	100.00	98.35	121	AAC38221.1	mercury resistance co-regulator MerD	NA	NA
NC_014911	NA	NC_014911.1	71949	72191	-	merF	mercury resistance system transport protein MerF	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	81	81	100.00	100.00	81	ABA25986.1	mercury resistance system transport protein MerF	NA	NA
NC_014911	NA	NC_014911.1	72197	72469	-	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	91	91	100.00	92.31	91	AAA98223.1	mercury resistance system periplasmic binding protein MerP	NA	NA
NC_014911	NA	NC_014911.1	72488	72835	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	116	116	100.00	93.97	116	AAA98222.1	mercuric transport protein MerT	NA	NA
NC_014911	NA	NC_014911.1	72907	73338	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	144	144	100.00	94.44	144	AAC38229.1	mercury resistance transcriptional regulator MerR	NA	NA
NC_015062	NA	NC_015062.1	452653	453537	+	blaRAHN-3	extended-spectrum class A beta-lactamase RAHN-3	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	295	295	100.00	100.00	295	WP_013578129.1	extended-spectrum class A beta-lactamase RAHN-3	NA	NA
NC_016861	NA	NC_016861.1	4994	5548	-	rcK	complement resistance protein Rck	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	185	185	100.00	100.00	185	AAC36968.1	complement resistance protein Rck	NA	NA
NC_016861	NA	NC_016861.1	13571	14086	-	pefA	major pilin PefA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	172	172	100.00	100.00	172	AAC36959.1	major pilin PefA	NA	NA
