AnnotationAccession,SeqID,SeqType,PIRAReadCount,replicon_length,PIRASequencingCoverage,PIRALongestRepliconCoverage,PIRACopyNumber,InitialReadCount,AdditionalReadCount,InitialCopyNumberEstimate,RepliconDNAContent,Organism,Strain,TaxonomicGroup,TaxonomicSubgroup,host,isolation_source,Annotation,Genus,max_replicon_length,normalized_replicon_length,Plasmid,PredictedMobility,log10_replicon_length,log10_PIRACopyNumber,log10_normalized_replicon_length,Size_Cluster
GCF_001018655.2_ASM101865v2,NZ_CP026963.1,plasmid,1176476,61643,19.08531382,7.247413298,2.633396639,1176476,0,2.633396639,162330.469,Staphylococcus aureus,FDAARGOS_6,Terrabacteria group,Bacillota,Homo sapiens,human,Humans,Staphylococcus,2697644,0.02285068,CP026963.1,conjugative,4.789883767,0.420516277,-1.64110087,Cluster_1
GCF_003325115.1_ASM332511v1,NZ_CP030195.1,plasmid,58314,38923,1.498188732,0.404088427,3.707576438,58314,0,3.707576438,144309.9977,Salmonella enterica,SA20080453,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Salmonella,4651373,0.008368067,CP030195.1,conjugative,4.590206306,0.569090114,-2.077374861,Cluster_1
GCF_023299525.1_ASM2329952v1,NZ_CP097003.1,plasmid,87763,72603,1.208806799,0.502616948,2.405025941,87763,0,2.405025941,174612.0984,Enterococcus faecalis,LS06-1,Terrabacteria group,Bacillota,NA,pet food (BARF),Food,Enterococcus,2663981,0.027253573,CP097003.1,mobilizable,4.860954566,0.381119765,-1.564576557,Cluster_1
GCF_016889925.1_ASM1688992v1,NZ_CP069564.1,plasmid,419799,98235,4.273415789,3.43963591,1.242403528,419799,0,1.242403528,122047.5105,Bacteroides fragilis,FDAARGOS_1225,FCB group,Bacteroidota/Chlorobiota group,NA,NA,Unannotated,Bacteroides,5150703,0.019072154,CP069564.1,non-mobilizable,4.992266249,0.094262676,-1.719600259,Cluster_1
GCF_022494645.1_ASM2249464v1,NZ_CP091663.1,plasmid,96202,2101,45.78867206,2.470072359,18.53738086,96202,0,18.53738086,38947.03718,Escherichia coli,KFu023,Pseudomonadota,Gammaproteobacteria,NA,river water,Water,Escherichia,4672002,0.0004497,CP091663.1,non-mobilizable,3.322426052,1.268048373,-3.347076968,Cluster_2
GCF_001692655.1_ASM169265v1,NZ_CP016582.1,plasmid,1607187,2094,767.5200573,3.943028643,194.6524174,1607187,0,194.6524174,407602.1621,Salmonella enterica subsp. enterica serovar Heidelberg,SH14-009,Pseudomonadota,Gammaproteobacteria,Homo sapiens,human,Humans,Salmonella,4747526,0.000441072,CP016582.1,mobilizable,3.320976677,2.289259802,-3.355490675,Cluster_2
GCF_001692655.1_ASM169265v1,NZ_CP016583.1,plasmid,366557,37697,9.723771122,3.943028643,2.466066571,366557,0,2.466066571,92963.31151,Salmonella enterica subsp. enterica serovar Heidelberg,SH14-009,Pseudomonadota,Gammaproteobacteria,Homo sapiens,human,Humans,Salmonella,4747526,0.007940346,CP016583.1,conjugative,4.57630679,0.392004796,-2.100160562,Cluster_1
GCF_001692655.1_ASM169265v1,NZ_CP016584.1,plasmid,496419,6647,74.68316534,3.943028643,18.94055867,496419,0,18.94055867,125897.8935,Salmonella enterica subsp. enterica serovar Heidelberg,SH14-009,Pseudomonadota,Gammaproteobacteria,Homo sapiens,human,Humans,Salmonella,4747526,0.001400098,CP016584.1,mobilizable,3.822625679,1.277392785,-2.853841673,Cluster_2
GCF_001692655.1_ASM169265v1,NZ_CP016585.1,plasmid,883118,99473,8.877966885,3.943028643,2.251560333,883118,0,2.251560333,223969.461,Salmonella enterica subsp. enterica serovar Heidelberg,SH14-009,Pseudomonadota,Gammaproteobacteria,Homo sapiens,human,Humans,Salmonella,4747526,0.020952597,CP016585.1,conjugative,4.997705216,0.352483589,-1.678762136,Cluster_1
GCF_003071285.1_ASM307128v1,NZ_CP028952.1,plasmid,518845,451422,1.149356921,0.578780866,1.985823978,518845,0,1.985823978,896444.632,Klebsiella aerogenes,AR_0161,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Klebsiella,5086051,0.088756876,CP028952.1,conjugative,5.654582721,0.29794075,-1.05179799,Cluster_1
GCF_000017425.1_ASM1742v1,NC_009673.1,plasmid,64431,7135,9.030273301,0.520243336,17.35778755,64431,0,17.35778755,123847.8142,Bacillus cytotoxicus NVH 391-98,NVH 391-98,Terrabacteria group,Bacillota,NA,NA,Unannotated,Bacillus,4087024,0.001745769,9673.1,mobilizable,3.853393977,1.239494369,-2.758013211,Cluster_2
GCF_030020705.1_ASM3002070v1,NZ_CP124924.1,plasmid,49780,53892,0.92369925,0.548271265,1.684748608,49780,0,1.684748608,90794.47197,Enterococcus faecalis,EfsC11,Terrabacteria group,Bacillota,Homo sapiens,urine,Humans,Enterococcus,2950886,0.018262989,CP124924.1,mobilizable,4.731524301,0.226535106,-1.738428131,Cluster_1
GCF_037482175.1_Halobacterium_salinarum_KBTZ02,NZ_CP148057.1,plasmid,116376,286683,0.405939662,3.742597043,0.108464699,116376,0,0.108464699,31094.98529,Halobacterium salinarum,-,Euryarchaeota,Stenosarchaea group,NA,Hypersaline lake,Earth,Halobacterium,1959251,0.146322753,CP148057.1,NA,5.457401941,-0.964711585,-0.834688137,Cluster_1
GCF_037482175.1_Halobacterium_salinarum_KBTZ02,NZ_CP148058.1,plasmid,839344,37982,22.0984677,3.742597043,5.904581081,839344,0,5.904581081,224267.7986,Halobacterium salinarum,-,Euryarchaeota,Stenosarchaea group,NA,Hypersaline lake,Earth,Halobacterium,1959251,0.01938598,CP148058.1,NA,4.579577829,0.771189091,-1.712512248,Cluster_1
GCF_013745515.1_ASM1374551v1,NZ_CP056166.1,plasmid,192234,87925,2.186340631,1.041236172,2.099754781,192234,0,2.099754781,184620.9392,Escherichia marmotae,RHBSTW-00777,Pseudomonadota,Gammaproteobacteria,NA,Freshwater sample from upstream of wastewater treatment plant,Human-impacted,Escherichia,4754030,0.018494835,CP056166.1,conjugative,4.944112377,0.322168579,-1.732949541,Cluster_1
GCF_013745515.1_ASM1374551v1,NZ_CP056167.1,plasmid,123890,46003,2.693085234,1.041236172,2.58643073,123890,0,2.58643073,118983.5729,Escherichia marmotae,RHBSTW-00777,Pseudomonadota,Gammaproteobacteria,NA,Freshwater sample from upstream of wastewater treatment plant,Human-impacted,Escherichia,4754030,0.009676632,CP056167.1,conjugative,4.662786154,0.412700852,-2.014275764,Cluster_1
GCF_005082585.1_ASM508258v1,NZ_CP034856.1,plasmid,17871,7716,2.316096423,1.803523233,1.284206591,17871,0,1.284206591,9908.938055,Buchnera aphidicola (Sitobion avenae),Sav,Pseudomonadota,Gammaproteobacteria,Sitobion avenae,air,Animals,Buchnera,636177,0.0121287,CP034856.1,non-mobilizable,3.887392219,0.108634894,-1.916185745,Cluster_2
