Biosample,Contig,Genus,Species,Predicted_mobility,Size,Relaxase,PCN,Percentage_DNA_load,Total_DNA_load,Replicon_type,Replicon_form,Chromosome_size,GC,Plasmids_per_cell,Topology,Predicted_PTU
GCA_000939415,NZ_CP015484.1,Acinetobacter,Acinetobacter baumannii,mobilizable,110965,MOBP,1.0861995207213,3.03492641367262,120530.129816839,rep_cluster_718,Single replicons,3971435,41.6131212544496,3,circular,PTU-Pse10
GCA_000939415,NZ_CP015486.1,Acinetobacter,Acinetobacter baumannii,non-mobilizable,15198,No MOB,9.3691741651974,3.58542211977963,142392.70896267,rep_cluster_1172,Single replicons,3971435,36.1626529806554,3,circular,PTU-Pse7
GCA_000939415,NZ_CP015485.1,Acinetobacter,Acinetobacter baumannii,non-mobilizable,24022,No MOB,1.0522510098539,0.636474567976318,25277.1737587103,-,Single replicons,3971435,36.7121805012072,3,circular,PTU-Pse9
GCA_001668465,NZ_CP035050.1,Acinetobacter,Acinetobacter baumannii,mobilizable,11810,MOBQ,5.45608847888589,1.663347142044,64436.4049356424,rep_cluster_1172,Single replicons,3873900,40.2709568162574,1,circular,-
GCA_001669145,NZ_CP035047.1,Acinetobacter,Acinetobacter baumannii,conjugative,74091,MOBF,1.42558974104108,2.69731621521237,105623.369503474,rep_cluster_734,Single replicons,3915869,33.6667071574145,3,circular,PTU-Pse5
GCA_001669145,NZ_CP035048.1,Acinetobacter,Acinetobacter baumannii,mobilizable,10945,MOBQ,3.60681314381812,1.00811773476307,39476.5698590893,rep_cluster_1172,Single replicons,3915869,36.9118318867063,3,circular,PTU-Pse7
GCA_001669145,NZ_CP035046.1,Acinetobacter,Acinetobacter baumannii,non-mobilizable,106963,No MOB,1.89121333533578,5.16589936965513,202289.851987521,-,Single replicons,3915869,42.6427830184269,3,circular,-
GCA_001674475,NZ_CP035052.1,Acinetobacter,Acinetobacter baumannii,conjugative,74091,MOBF,1.21943202500331,2.29929977201469,90348.9381645202,rep_cluster_734,Single replicons,3929411,33.6653574658191,2,circular,PTU-Pse5
GCA_001674475,NZ_CP035053.1,Acinetobacter,Acinetobacter baumannii,mobilizable,10967,MOBQ,6.06643352797797,1.69314374346014,66530.5765013344,rep_cluster_1172,Single replicons,3929411,36.9198504604723,2,circular,PTU-Pse7
GCA_001674505,NZ_CP035044.1,Acinetobacter,Acinetobacter baumannii,mobilizable,12952,MOBQ,4.66889579257664,1.53840400065057,60471.5383054527,rep_cluster_1172,Single replicons,3930797,36.6661519456455,1,circular,PTU-Pse7
GCA_001696605,NZ_CP031711.1,Acinetobacter,Acinetobacter wuhouensis,mobilizable,12086,Multiple MOB,6.68455111918136,2.09783533449316,80789.4848264259,rep_cluster_2314,Single replicons,3851088,42.4458050637101,7,circular,-
GCA_001696605,NZ_CP031715.1,Acinetobacter,Acinetobacter wuhouensis,mobilizable,5009,MOBQ,7.36924068902528,0.958496056473589,36912.5266113276,rep_cluster_1265,Single replicons,3851088,35.296466360551,7,circular,-
GCA_001696605,NZ_CP031712.1,Acinetobacter,Acinetobacter wuhouensis,mobilizable,12273,MOBQ,7.56746582306646,2.41166932686282,92875.5080464947,rep_cluster_1171,Single replicons,3851088,34.4740487248432,7,circular,-
GCA_001696605,NZ_CP031710.1,Acinetobacter,Acinetobacter wuhouensis,mobilizable,30787,Multiple MOB,5.67623945943735,4.5377925468776,174754.384237698,"rep_cluster_1154,rep_cluster_1172",Multiple replicons,3851088,35.7423587878,7,circular,-
GCA_001696605,NZ_CP031714.1,Acinetobacter,Acinetobacter wuhouensis,mobilizable,5113,MOBQ,9.06036262598135,1.20292328055455,46325.6341066426,-,Single replicons,3851088,36.9059260707999,7,circular,-
GCA_001696605,NZ_CP031713.1,Acinetobacter,Acinetobacter wuhouensis,mobilizable,5424,MOBQ,20.1382651178176,2.83634001609526,109229.949999042,-,Single replicons,3851088,36.7994100294985,7,circular,PTU-Pse2
GCA_001696605,NZ_CP031709.1,Acinetobacter,Acinetobacter wuhouensis,conjugative,38671,MOBQ,5.36283388088906,5.38513139683801,207386.149007861,-,Single replicons,3851088,36.5519381448631,7,circular,PTU-Pse8
GCA_001696615,NZ_CP032273.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,11378,No MOB,4.71279354904919,1.47693545240358,53622.1650010817,rep_cluster_2314,Single replicons,3630637,34.768852170856,12,circular,-
GCA_001696615,NZ_CP032275.1,Acinetobacter,Acinetobacter sp.,mobilizable,10090,MOBQ,4.27932000979054,1.18927722321969,43178.3388987865,rep_cluster_1357,Single replicons,3630637,43.7958374628345,12,circular,-
GCA_001696615,NZ_CP032277.1,Acinetobacter,Acinetobacter sp.,mobilizable,5934,MOBQ,11.0642431395893,1.80836637731404,65655.2187903231,rep_cluster_1280,Single replicons,3630637,36.4678126053252,12,circular,-
GCA_001696615,NZ_CP032270.1,Acinetobacter,Acinetobacter sp.,mobilizable,14502,MOBQ,3.39825266375623,1.3573777860412,49281.4601297928,rep_cluster_1254,Single replicons,3630637,41.3253344366294,12,circular,-
GCA_001696615,NZ_CP032271.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,13204,No MOB,5.30785818392391,1.93037639016325,70084.9594605313,rep_cluster_1172,Single replicons,3630637,39.6092093305059,12,circular,-
GCA_001696615,NZ_CP032272.1,Acinetobacter,Acinetobacter sp.,mobilizable,12457,MOBQ,9.89980016675749,3.39669900012857,123321.810677298,rep_cluster_1171,Single replicons,3630637,35.6506381953921,12,circular,-
GCA_001696615,NZ_CP032274.1,Acinetobacter,Acinetobacter sp.,mobilizable,10922,MOBQ,4.61142213496782,1.38724836876059,50365.9525581185,rep_cluster_1154,Single replicons,3630637,34.13294268449,12,circular,-
GCA_001696615,NZ_CP032269.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,2817,No MOB,18.1196813356974,1.40590046106674,51043.1423226596,-,Single replicons,3630637,34.3982960596379,12,circular,-
GCA_001696615,NZ_CP032267.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,3470,No MOB,15.4549041940391,1.4771104231383,53628.5175533156,-,Single replicons,3630637,36.657060518732,12,circular,-
GCA_001696615,NZ_CP032276.1,Acinetobacter,Acinetobacter sp.,mobilizable,8540,MOBP,5.92960018000485,1.39476311008898,50638.7855372414,-,Single replicons,3630637,35.4683840749414,12,circular,-
GCA_001696615,NZ_CP032278.1,Acinetobacter,Acinetobacter sp.,conjugative,49649,MOBQ,3.09336582489099,4.23018109053625,153582.519840013,-,Single replicons,3630637,40.6715140284799,12,circular,PTU-Pse8
GCA_001704615,NZ_CP029392.2,Acinetobacter,Acinetobacter defluvii,mobilizable,4761,MOBQ,6.03711204608685,0.856985400751342,28742.6904514195,rep_cluster_1280,Single replicons,3353930,35.4337324091577,8,circular,-
GCA_001704615,NZ_CP029394.2,Acinetobacter,Acinetobacter defluvii,mobilizable,3063,MOBV,12.054451474196,1.10088120102275,36922.7848654625,rep_cluster_1223,Single replicons,3353930,36.598106431603,8,circular,-
GCA_001704615,NZ_CP029391.2,Acinetobacter,Acinetobacter defluvii,mobilizable,5017,MOBQ,5.96599086105472,0.892426978199054,29931.3761499115,rep_cluster_1219,Single replicons,3353930,37.3529998006777,8,circular,-
GCA_001704615,NZ_CP029390.2,Acinetobacter,Acinetobacter defluvii,mobilizable,7173,MOBQ,7.34198360225285,1.57021906774917,52664.0483789597,rep_cluster_1171,Single replicons,3353930,33.6400390352712,8,circular,-
GCA_001704615,NZ_CP029395.2,Acinetobacter,Acinetobacter defluvii,non-mobilizable,1381,No MOB,5.92723228139176,0.244057203954824,8185.50778060202,-,Single replicons,3353930,39.8986241853729,8,circular,-
GCA_001704615,NZ_CP029393.2,Acinetobacter,Acinetobacter defluvii,mobilizable,4700,MOBP,19.0751330516605,2.67307681862186,89653.1253428043,-,Single replicons,3353930,39.2765957446809,8,circular,-
GCA_001704615,NZ_CP029389.2,Acinetobacter,Acinetobacter defluvii,non-mobilizable,76885,No MOB,1.48460065995447,3.40327680484088,114143.5217406,-,Single replicons,3353930,36.6755543994277,8,circular,-
